rollout,samples,topk,cem_steps,mean_inference_latency_ms,std_inference_latency_ms,mean_rep_l1_error,std_rep_l1_error,mean_pose_error_m,std_pose_error_m
1,5,5,5,311.38013451499864,1542.0705096494055,0.452874640583992,0.03442743978563943,0.034441392175387595,0.02398467294989821
1,5,5,10,326.2524410672486,2.074155632487033,0.45691597306728365,0.03360548576023245,0.03833093559369445,0.024290347018665667
1,5,5,15,437.7620567730628,3.440673703189826,0.45491376507282255,0.028676878966612373,0.037711838254705074,0.02361919766151691
1,5,5,20,548.3182225921191,2.4783324966381812,0.45622414350509644,0.036178466559045094,0.03662867407687009,0.018577671664237592
1,10,5,5,308.062554765027,3.9257304897410483,0.4536197208166122,0.03240084819103699,0.05162232071906328,0.02220698771982783
1,10,5,10,506.1754521159455,1.2706107408441187,0.45452281630039215,0.03071205300410001,0.05402285075373948,0.018434631099304728
1,10,5,15,704.6285660159774,3.0622700604300297,0.4528462438583374,0.032251903002456235,0.056806642286479477,0.023113942898899422
1,10,5,20,902.8659034958109,1.0168147701372212,0.4513572269678116,0.03138382983846522,0.05588069111853838,0.018557041815028655
1,10,10,5,307.93170626228675,1.5407065046065886,0.45684914469718935,0.030847559355812383,0.0296725488435477,0.02038211507360764
1,10,10,10,506.57566518429667,2.2588032089211834,0.4522980638742447,0.03201114304429686,0.028145344225689768,0.021156020378777434
1,10,10,15,704.7041084896773,1.292431280260435,0.4552288051843643,0.0363021414134372,0.03026540422067046,0.022908885181494424
1,10,10,20,903.1366424299777,1.6387068887361094,0.45476305747032164,0.03319577611644572,0.03037955825496465,0.023050825931412687
1,15,5,5,399.7271761968732,1.5832354614132031,0.4535383964776993,0.033730577760098655,0.055414794448763134,0.020031311486483353
1,15,5,10,691.4952317932621,1.7252223874614652,0.4538146317005157,0.0321106547556786,0.05904927469417453,0.02182463459620414
1,15,5,15,982.5148536455818,2.056053387541093,0.45369236612319946,0.036861329074839175,0.05955590946599841,0.02086512396249494
1,15,5,20,1271.8964394908398,1.8356898934288244,0.452267723441124,0.03251761990394441,0.05930152602493763,0.020544607755761276
1,15,10,5,400.1178541984409,2.823290127158764,0.4513329632282257,0.03134806831326254,0.04122149983048439,0.021644062118587996
1,15,10,10,691.1625078315847,1.9119308130125903,0.4506143716573715,0.03178042852027421,0.04645043104141951,0.018955696645713987
1,15,10,15,982.7829622286372,2.193045543774639,0.45229362678527835,0.032389569822973883,0.04778357866406441,0.016413959259011346
1,15,10,20,1273.4513442516327,2.2111090900585313,0.4563889136314392,0.03212529322481482,0.05152803798019886,0.02065679641480931
1,20,5,5,490.3722673500888,1.2965509827921564,0.45566426098346713,0.035707753128248663,0.05791038440167904,0.01952034501113063
1,20,5,10,869.4600444911048,2.703622219514679,0.4545800596475601,0.03083206793399278,0.056727182731032375,0.01806185368611417
1,20,5,15,1252.6151616466232,1.259169641471295,0.4529096426963806,0.034570019495758594,0.05859285096079111,0.01706708830889623
1,20,5,20,1633.9331553583033,1.3086641808746788,0.4538768165111542,0.03245043312746684,0.05808819805085659,0.020173310220398203
1,20,10,5,490.9592889947817,2.353435437797284,0.4559385542869568,0.033199166321602906,0.04887687554396689,0.02193697997464723
1,20,10,10,871.2956958091818,1.8659786776205602,0.45181277775764467,0.03011736884072295,0.05447509854659438,0.019100295071976966
1,20,10,15,1253.012363161426,3.7048308904232967,0.4538409450054169,0.03612618032221286,0.056799029659479854,0.022124989319466954
1,20,10,20,1633.2225634506904,3.4325806908119585,0.45459300112724305,0.03193573176575989,0.05692788896523416,0.023142707581041835
2,5,5,5,489.83949561044574,597.5573477977655,0.45462088644504545,0.030993202538553668,0.04588105524517596,0.020835210951120026
2,5,5,10,784.6580829280429,1.8537600160458654,0.4548727283477783,0.0307797421316386,0.047053419530391695,0.023164161911961533
2,5,5,15,1115.7282173130661,2.3148581552084613,0.45663158190250397,0.032326667234868,0.04824339544400573,0.027702443351709596
2,5,5,20,1446.2126984372735,1.4342995573652777,0.4525721089839935,0.025742269821325534,0.04673222673498094,0.025004763440129044
2,10,5,5,742.7829239424318,2.3349694605952647,0.4538916866779327,0.03049707017305171,0.06287425551190973,0.02311937667709538
2,10,5,10,1365.8259991006926,1.8523081873935425,0.4522051649093628,0.026825230305128442,0.07280574931204319,0.02593218991659275
2,10,5,15,1991.3503930112347,2.6857271382438013,0.4538154320716858,0.030261644539262746,0.07552904431894422,0.026358738265196347
2,10,5,20,2603.808327447623,3.823799555287345,0.45150989639759065,0.029961791683879233,0.0790487059354782,0.02511202254504694
2,10,10,5,742.2930117081851,2.9604976277208372,0.45473418092727663,0.02826422896521377,0.03446383385639638,0.02097328636533501
2,10,10,10,1363.2449527429417,1.8259962905394558,0.4536805338859558,0.027216970962743357,0.03772625421360135,0.025478547533460818
